ACTUAL,pr_out1,pr_out2,pr_out3,pr_out4,pr_out5,pr_out6,pr_out7,pr_out8,pr_out9,pr_out10,average output,error,% error
71,82,82,82,82,82,82,82,82,82,82,82,0.154929577,15.49295775
71,86,86,86,86,86,86,86,86,86,86,86,0.211267606,21.12676056
71,84,84,83,84,83,83,84,83,83,84,83.5,0.176056338,17.6056338
70,88,89,89,88,88,89,89,88,89,89,88.6,0.265714286,26.57142857
71,86,86,86,86,86,86,86,86,86,86,86,0.211267606,21.12676056
73,84,84,86,84,86,84,86,86,84,86,85,0.164383562,16.43835616
71,86,86,86,86,86,86,86,86,86,86,86,0.211267606,21.12676056
73,88,88,88,88,88,88,88,88,88,88,88,0.205479452,20.54794521
70,76,76,76,76,76,76,76,76,76,76,76,0.085714286,8.571428571
71,82,82,82,82,82,82,81,82,82,82,81.9,0.153521127,15.35211268
72,61,61,61,61,61,61,61,61,61,61,61,0.152777778,15.27777778
74,88,88,88,88,88,88,88,88,88,88,88,0.189189189,18.91891892
75,71,71,71,73,73,71,71,71,71,73,71.6,0.045333333,4.533333333
73,88,84,84,88,88,84,88,84,88,84,86,0.178082192,17.80821918
70,85,84,84,85,84,85,85,84,84,84,84.4,0.205714286,20.57142857
71,83,83,83,86,81,83,83,86,86,81,83.5,0.176056338,17.6056338
72,84,84,84,84,84,84,84,84,84,84,84,0.166666667,16.66666667
76,86,86,86,86,86,86,86,86,86,86,86,0.131578947,13.15789474
76,86,86,86,86,86,86,86,86,86,86,86,0.131578947,13.15789474
75,88,88,88,88,88,91,88,88,91,91,88.9,0.185333333,18.53333333
80,74,74,74,74,74,74,74,74,74,74,74,0.075,7.5
78,86,86,86,86,86,86,86,86,86,86,86,0.102564103,10.25641026
72,86,86,86,86,86,86,86,86,86,86,86,0.194444444,19.44444444
71,86,86,86,86,86,86,86,86,86,86,86,0.211267606,21.12676056
71,76,76,76,76,76,76,76,76,76,76,76,0.070422535,7.042253521
70,76,76,76,76,76,76,76,76,76,76,76,0.085714286,8.571428571
72,84,84,84,84,84,84,84,84,84,84,84,0.166666667,16.66666667
70,88,88,88,88,88,88,88,88,88,86,87.8,0.254285714,25.42857143
72,75,75,75,75,75,75,75,76,75,75,75.1,0.043055556,4.305555556
